disease,remedy,preparation,usage
Plantar heel pain,Epsom salt,Soak feet in warm water with 1-2 cups of Epsom salt.,Soak for 15-20 minutes to relieve pain and reduce inflammation.
Pleurisy,"Vasaka (Adhatoda vasica), Tulsi (Holy Basil)",Prepare a decoction by boiling Vasaka and Tulsi leaves in water. Add honey if needed.,Drink warm twice daily to reduce inflammation and ease breathing.
Pneumonia,"Ginger, Turmeric, Tulsi","Make a tea by boiling ginger, turmeric, and Tulsi leaves in water.",Consume 2-3 times daily for anti-inflammatory and immune-boosting effects.
Polio,"Ashwagandha, Shatavari, Brahmi",Prepare a herbal decoction by boiling these herbs together or take as powder mixed in warm milk.,Take once daily to improve muscle strength and immunity.
Polycystic ovary syndrome (PCOS),"Shatavari, Ashoka, Cinnamon",Mix Shatavari powder in warm milk. Boil Ashoka bark in water to make a decoction.,Drink Shatavari milk at night and Ashoka decoction twice daily to regulate hormones.
Polymyalgia rheumatica,"Turmeric, Ginger, Guggulu",Mix turmeric and ginger powder in warm water or milk. Use Guggulu tablets or decoction.,Consume daily for reducing joint pain and inflammation.
Post-concussion syndrome,"Brahmi, Ashwagandha",Boil Brahmi leaves to make tea or take capsules. Mix Ashwagandha powder in milk.,Take Brahmi tea in the morning and Ashwagandha milk at night to support brain function.
Post-polio syndrome,"Ashwagandha, Shatavari",Prepare Ashwagandha milk or mix Shatavari powder in warm water.,Use daily to improve energy levels and strengthen muscles.
Post-traumatic stress disorder (PTSD),"Brahmi, Jatamansi, Ashwagandha",Prepare a tea using Brahmi and Jatamansi powder. Take Ashwagandha powder with milk.,Consume twice daily to calm the mind and reduce stress.
Postural orthostatic tachycardia syndrome (PoTS),"Arjuna, Brahmi",Prepare Arjuna bark tea by boiling the bark in water. Take Brahmi capsules or tea.,Take Arjuna tea twice daily to support heart health; Brahmi for nervous system balance.
Postnatal depression,"Shatavari, Ashwagandha",Mix Shatavari powder in milk. Take Ashwagandha with warm water.,Consume once or twice daily to support hormonal balance and reduce stress.
Pregnancy and baby,"Shatavari, Almond oil, Ajwain",Boil Shatavari in milk; use almond oil for massage; make Ajwain water by boiling seeds in water.,"Drink Shatavari milk daily, use almond oil for baby massage, and Ajwain water for digestion."
Pressure ulcers,"Neem oil, Turmeric",Apply Neem oil directly on the ulcer. Make a paste of turmeric and water to apply externally.,Use Neem oil twice daily and apply turmeric paste on the affected area.
Progressive supranuclear palsy (PSP),"Brahmi, Ashwagandha",Make Brahmi tea or use capsules. Mix Ashwagandha powder with milk.,Take Brahmi tea in the morning and Ashwagandha milk at night to support brain health.
Prostate cancer,"Gokshura, Turmeric",Make Gokshura decoction by boiling in water. Use turmeric in meals or with warm milk.,Drink Gokshura decoction daily and turmeric milk at night for anti-inflammatory benefits.
Psoriasis,"Neem, Aloe Vera, Turmeric",Apply Neem oil or Aloe Vera gel directly on the skin. Mix turmeric powder with coconut oil.,Use Neem or Aloe Vera gel twice daily and apply turmeric paste to affected areas.
Psoriatic arthritis,"Guggulu, Ashwagandha, Turmeric",Prepare Guggulu decoction or use tablets. Mix Ashwagandha powder in milk and use turmeric in meals.,"Take Guggulu twice daily, Ashwagandha at night, and use turmeric daily for anti-inflammatory effects."
Psychosis,"Brahmi, Jatamansi, Ashwagandha",Prepare Brahmi tea. Use Jatamansi capsules or powder. Mix Ashwagandha with milk.,Take Brahmi and Jatamansi in the morning and Ashwagandha at night to calm the mind.
Pubic lice,"Neem oil, Turmeric",Apply Neem oil directly. Make a paste of turmeric and water.,Use Neem oil twice daily and apply turmeric paste until the condition improves.
Pulmonary hypertension,"Arjuna, Tulsi, Ginger",Make Arjuna bark tea. Prepare a Tulsi and ginger tea.,Drink Arjuna tea in the morning and Tulsi-ginger tea twice daily to support respiratory health.
Phobias,"Brahmi, Jatamansi, Ashwagandha",Prepare a tea using Brahmi and Jatamansi powder. Mix Ashwagandha powder in milk.,Consume twice daily to calm the nervous system and reduce fear and anxiety.
Rare tumours,"Ashwagandha, Turmeric, Neem",Prepare a decoction of Ashwagandha root and Neem leaves. Add turmeric to meals or milk.,Consume Ashwagandha and Neem decoction twice daily and turmeric milk once daily.
Raynaud’s phenomenon,"Ginger, Turmeric, Black Pepper",Boil ginger and turmeric in water to make tea. Add black pepper for enhanced absorption.,Drink warm tea 2-3 times daily to improve circulation and reduce symptoms.
Reactive arthritis,"Guggulu, Turmeric, Ashwagandha",Prepare Guggulu decoction. Mix turmeric in milk and take Ashwagandha powder with warm water.,Use Guggulu and turmeric daily; take Ashwagandha at night for joint and immune support.
Restless legs syndrome,"Ashwagandha, Brahmi, Jatamansi",Make Brahmi tea or capsules. Prepare a mixture of Jatamansi and Ashwagandha powder in milk.,Take Brahmi tea in the evening and Ashwagandha-Jatamansi milk at night for relaxation.
Respiratory syncytial virus (RSV),"Tulsi, Ginger, Honey","Make a tea using Tulsi leaves and ginger, and sweeten with honey.",Drink 2-3 times daily to support respiratory health and ease congestion.
Retinoblastoma: Children,"Neem, Turmeric",Use Neem extract in small amounts or apply Neem oil for external cleansing. Add turmeric to meals.,Neem can be applied externally; turmeric supports immunity when used in the diet.
Rhabdomyosarcoma,"Ashwagandha, Turmeric, Amla",Prepare Ashwagandha milk or capsules. Use turmeric in meals and Amla juice or powder in water.,Consume daily to boost immunity and support the body during treatment.
Rheumatoid arthritis,"Guggulu, Turmeric, Ginger",Prepare Guggulu decoction. Mix turmeric and ginger in warm water.,Take Guggulu twice daily and turmeric-ginger water daily to reduce inflammation.
Ringworm and other fungal infections,"Neem, Turmeric, Aloe Vera",Apply Neem oil or turmeric paste directly on the affected area. Use Aloe Vera gel for soothing.,Apply Neem or turmeric twice daily and Aloe Vera as needed for relief.
Rosacea,"Neem, Aloe Vera",Apply Neem oil or Aloe Vera gel to the affected area.,Use twice daily for anti-inflammatory and cooling effects.
Scabies,"Neem, Turmeric, Tulsi",Apply Neem oil or turmeric paste. Prepare a Tulsi decoction for skin wash.,Use Neem or turmeric twice daily; bathe with Tulsi water once daily.
Scarlet fever,"Turmeric, Tulsi, Honey",Prepare a tea with Tulsi leaves and turmeric. Add honey to sweeten.,Consume 2-3 times daily to boost immunity and soothe throat irritation.
Schizophrenia,"Brahmi, Jatamansi, Ashwagandha",Prepare a tea with Brahmi and Jatamansi powder. Mix Ashwagandha powder in milk.,Take Brahmi-Jatamansi tea in the morning and Ashwagandha milk at night for calming effects.
Sciatica,"Guggulu, Ashwagandha, Ginger",Prepare Guggulu decoction. Take Ashwagandha powder with milk and boil ginger in water for tea.,"Use Guggulu twice daily, Ashwagandha at night, and ginger tea as needed for pain relief."
Seasonal affective disorder (SAD),"Brahmi, Ashwagandha, Turmeric",Make Brahmi tea or capsules. Mix Ashwagandha powder in milk and use turmeric in meals.,"Take Brahmi in the morning, Ashwagandha at night, and turmeric daily for mood support."
Sepsis,"Tulsi, Turmeric, Ginger","Make a decoction using Tulsi leaves, turmeric, and ginger.",Drink 2-3 times daily to boost immunity and fight infection.
Septic shock,"Tulsi, Turmeric",Prepare Tulsi and turmeric tea.,Consume twice daily as an adjunct to medical treatment to support immunity.
Severe head injury,"Brahmi, Jatamansi, Ashwagandha",Prepare Brahmi tea or capsules. Mix Jatamansi and Ashwagandha powders in milk.,Take Brahmi in the morning and Jatamansi-Ashwagandha at night for brain health and recovery.
Shingles,"Neem, Aloe Vera, Turmeric",Apply Neem oil or Aloe Vera gel directly. Make a paste of turmeric with water.,Use Neem or Aloe Vera twice daily and apply turmeric paste to soothe the skin.
Shortness of breath,"Tulsi, Ginger, Honey","Make a tea with Tulsi leaves and ginger, adding honey for sweetness.",Consume 2-3 times daily to ease breathing and improve lung function.
Sickle cell disease,"Ashwagandha, Amla, Turmeric",Prepare Ashwagandha milk or capsules. Take Amla juice and use turmeric in meals.,Consume daily to boost immunity and improve blood health.
Sinusitis,"Ginger, Turmeric, Tulsi","Boil ginger, turmeric, and Tulsi leaves in water to make tea.",Drink twice daily to relieve congestion and reduce inflammation.
Sjogren’s syndrome,"Ashwagandha, Shatavari, Tulsi",Prepare Shatavari milk and Tulsi tea. Take Ashwagandha powder with warm water.,"Consume Shatavari milk at night, Tulsi tea twice daily, and Ashwagandha for immune balance."
Skin cancer (melanoma),"Neem, Turmeric, Ashwagandha",Apply Neem oil topically. Mix turmeric in milk. Take Ashwagandha capsules or decoction.,"Use Neem oil daily, consume turmeric milk, and take Ashwagandha to support immunity."
Skin cancer (non-melanoma),"Neem, Turmeric, Tulsi",Apply Neem oil or turmeric paste to affected areas. Prepare Tulsi tea.,Use Neem or turmeric topically and drink Tulsi tea daily to boost immunity.
Skin light sensitivity (photosensitivity),"Aloe Vera, Neem, Turmeric",Apply Aloe Vera gel and Neem oil to exposed skin. Use turmeric in meals.,Use Aloe Vera and Neem twice daily and turmeric to reduce inflammation and sensitivity.
Skin rashes in children,"Neem, Aloe Vera, Turmeric",Apply Aloe Vera gel and Neem oil directly. Use turmeric paste for severe rashes.,Use Neem or Aloe Vera twice daily and turmeric paste as needed for soothing effects.
Slapped cheek syndrome,"Neem, Aloe Vera, Turmeric",Apply Aloe Vera gel to soothe skin. Use Neem oil topically or turmeric paste for rashes.,Apply Neem or Aloe Vera twice daily to reduce redness and inflammation.
Soft tissue sarcomas,"Ashwagandha, Turmeric, Amla",Prepare Ashwagandha milk or capsules. Use turmeric in meals and Amla juice daily.,Consume daily to boost immunity and manage inflammation.
Soft tissue sarcomas: Teenagers and young adults,"Ashwagandha, Turmeric, Neem",Mix Ashwagandha in milk. Use turmeric in meals and apply Neem oil externally if needed.,Consume daily for immunity support and apply Neem for inflammation or skin lesions.
Sore throat,"Tulsi, Ginger, Honey",Make a tea with Tulsi leaves and ginger. Add honey for soothing.,Gargle and drink 2-3 times daily to ease irritation.
Spina bifida,"Shatavari, Amla",Prepare Shatavari milk and consume Amla juice.,Take once daily for nutritional support during recovery.
Spleen problems and spleen removal,"Punarnava, Giloy, Amla",Boil Punarnava and Giloy in water to make tea. Consume Amla juice daily.,Drink tea twice daily and use Amla for immunity and spleen health.
Stillbirth,"Ashwagandha, Shatavari",Mix Ashwagandha and Shatavari powders in milk.,Consume twice daily for hormonal balance and stress relief.
Stomach ache and abdominal pain,"Ajwain, Ginger, Fennel","Boil Ajwain seeds, ginger, and fennel in water to make a tea.",Drink warm tea as needed for digestion and pain relief.
Stomach cancer,"Turmeric, Neem, Amla","Use turmeric in meals, Neem oil topically if needed, and Amla juice daily.",Consume daily for immune support and inflammation management.
Stomach ulcer,"Licorice (Mulethi), Aloe Vera, Honey",Boil licorice in water to make a decoction. Consume Aloe Vera juice with honey.,Drink twice daily to soothe ulcers and support healing.
Streptococcus A (strep A),"Tulsi, Ginger, Turmeric","Prepare a tea using Tulsi leaves, ginger, and turmeric.",Drink 2-3 times daily to reduce throat infection and inflammation.
"Stress, anxiety and low mood","Brahmi, Ashwagandha, Jatamansi",Prepare Brahmi tea or capsules. Mix Ashwagandha powder in milk and Jatamansi in warm water.,Take Brahmi in the morning and Ashwagandha-Jatamansi at night for calming effects.
Stroke,"Brahmi, Ashwagandha, Amla",Make Brahmi tea. Consume Ashwagandha with milk and Amla juice daily.,Use Brahmi for brain support and Ashwagandha for recovery.
Subacromial pain syndrome,"Guggulu, Turmeric, Ginger",Mix Guggulu in warm water. Prepare turmeric and ginger tea.,Consume twice daily for joint pain relief and inflammation management.
Sudden infant death syndrome (SIDS),"Shatavari, Tulsi",Use Tulsi tea for the mother during lactation. Shatavari supports hormonal balance.,Consume twice daily to boost immunity and stress relief.
Suicide,"Brahmi, Jatamansi, Ashwagandha",Prepare Brahmi tea. Mix Jatamansi and Ashwagandha in milk.,Consume daily to calm the nervous system and improve emotional well-being.
Sunburn,"Aloe Vera, Neem, Turmeric",Apply Aloe Vera gel or Neem oil to affected areas. Use turmeric paste for redness.,Apply twice daily for soothing and anti-inflammatory effects.
Supraventricular tachycardia,"Arjuna, Brahmi, Tulsi",Boil Arjuna bark and Brahmi leaves to make tea. Add Tulsi leaves for flavor.,Consume twice daily to support heart health and manage palpitations.
Swollen glands,"Neem, Tulsi, Ginger","Make a decoction using Neem leaves, Tulsi, and ginger.",Gargle and drink twice daily to reduce swelling and ease discomfort.
Syphilis,"Neem, Turmeric, Tulsi",Apply Neem oil topically. Use turmeric in meals and Tulsi tea daily.,Use Neem for external application and consume turmeric-Tulsi for immunity.
Self-harm,"Brahmi, Ashwagandha, Jatamansi",Make Brahmi tea and mix Ashwagandha with milk. Take Jatamansi powder with warm water.,Use daily to calm the mind and reduce stress or emotional imbalance.
Tennis elbow,"Guggulu, Turmeric, Ginger",Prepare a Guggulu decoction and mix turmeric-ginger in warm water.,Use Guggulu twice daily and turmeric-ginger water for pain relief.
Testicular cancer,"Ashwagandha, Turmeric, Amla",Mix Ashwagandha powder in milk. Use turmeric in meals and consume Amla juice daily.,Use daily to boost immunity and reduce inflammation.
Testicular cancer: Teenagers and young adults,"Ashwagandha, Neem, Turmeric",Prepare Ashwagandha milk or Neem decoction. Add turmeric to meals.,Use Neem externally and Ashwagandha internally for supportive care.
Testicular lumps and swellings,"Neem, Turmeric, Guggulu",Apply Neem oil or turmeric paste externally. Use Guggulu decoction for internal care.,Apply Neem or turmeric twice daily and consume Guggulu for swelling relief.
Thirst,"Amla, Coriander, Fennel","Prepare a drink with Amla juice, coriander seeds, and fennel water.",Consume as needed to reduce excessive thirst and hydrate naturally.
Threadworms,"Neem, Garlic, Turmeric",Mix Neem powder in water. Use crushed garlic with honey and turmeric in meals.,Take Neem daily and garlic-turmeric as needed for deworming.
Thrush,"Neem, Aloe Vera, Turmeric",Apply Aloe Vera gel or Neem paste topically. Use turmeric in meals.,Use Aloe Vera or Neem twice daily and turmeric for antifungal support.
Thyroid cancer,"Ashwagandha, Guggulu, Turmeric",Prepare Ashwagandha milk. Take Guggulu decoction and turmeric in meals.,Use daily to regulate metabolism and reduce inflammation.
Thyroid cancer: Teenagers and young adults,"Ashwagandha, Shatavari, Amla",Mix Ashwagandha powder in milk. Prepare Shatavari drink and take Amla juice.,Use daily for immune and hormonal balance.
Tick bites,"Neem, Turmeric, Aloe Vera",Apply Neem oil or turmeric paste to the bite area. Use Aloe Vera for soothing.,Use twice daily to reduce itching and prevent infection.
Tinnitus,"Brahmi, Ashwagandha, Tulsi",Prepare Brahmi tea. Mix Ashwagandha in milk and Tulsi leaves in water for tea.,Take Brahmi and Tulsi tea daily for ear health and nervous system support.
Tonsillitis,"Tulsi, Ginger, Honey","Make a tea using Tulsi leaves and ginger, adding honey for soothing.",Gargle and drink 2-3 times daily for throat relief and to reduce inflammation.
Tooth decay,"Neem, Clove oil, Turmeric",Apply Neem paste or clove oil to the affected area. Use turmeric paste for swelling.,Use twice daily to reduce decay and pain.
Toothache,"Clove, Peppermint oil, Ginger",Apply clove or peppermint oil directly. Chew ginger root or make tea.,Use as needed for pain relief and antibacterial action.
Tourette’s syndrome,"Brahmi, Ashwagandha, Jatamansi",Prepare Brahmi tea or capsules. Mix Ashwagandha and Jatamansi in milk.,Use daily for nervous system support and calming effects.
Transient ischaemic attack (TIA),"Arjuna, Brahmi, Garlic",Make Arjuna bark tea. Use Brahmi tea and consume raw garlic daily.,Take twice daily to support cardiovascular health and circulation.
Transverse myelitis,"Ashwagandha, Turmeric, Giloy",Mix Ashwagandha powder in milk. Prepare Giloy tea and turmeric in meals.,Use daily to reduce inflammation and boost recovery.
Trichomonas infection,"Neem, Garlic, Aloe Vera",Apply Neem paste or Aloe Vera gel externally. Consume garlic cloves daily.,Use Neem/Aloe externally and garlic internally for antifungal and antibacterial effects.
Trigeminal neuralgia,"Turmeric, Ginger, Ashwagandha",Make turmeric and ginger tea. Mix Ashwagandha powder in milk.,Use twice daily for pain relief and anti-inflammatory effects.
Tuberculosis (TB),"Amla, Tulsi, Garlic","Consume Amla juice, Tulsi tea, and raw garlic daily.",Use daily to strengthen immunity and reduce infection severity.
Type 1 diabetes,"Bitter Gourd, Neem, Fenugreek",Prepare bitter gourd juice. Use Neem tea and fenugreek seed water.,Consume daily to regulate blood sugar levels.
Type 2 diabetes,"Bitter Gourd, Jamun, Cinnamon",Prepare bitter gourd juice and Jamun seed powder. Use cinnamon tea daily.,Use daily to manage sugar levels and improve metabolism.
Ulcerative colitis,"Aloe Vera, Licorice, Turmeric",Consume Aloe Vera juice. Prepare licorice tea and turmeric in meals.,Use daily to soothe the gut and reduce inflammation.
Underactive thyroid,"Ashwagandha, Guggulu, Kanchanar",Mix Ashwagandha in milk. Prepare Guggulu and Kanchanar decoction.,Use daily to support thyroid function.
Urinary incontinence,"Punarnava, Gokshura, Coriander",Boil Punarnava and Gokshura in water for tea. Add coriander seeds to water for infusion.,Drink twice daily to strengthen bladder function.
Urinary incontinence in women,"Shatavari, Punarnava, Amla",Prepare Shatavari milk and Punarnava tea. Use Amla juice daily.,Use daily for hormonal and urinary health.
Urinary tract infection (UTI),"Cranberry, Coriander, Tulsi",Drink cranberry juice and coriander seed water. Prepare Tulsi tea.,Consume twice daily to reduce infection and inflammation.
Urinary tract infection (UTI) in children,"Coriander, Tulsi, Honey",Prepare coriander water and Tulsi tea with honey for taste.,Use twice daily for infection relief.
Urticaria (hives),"Neem, Aloe Vera, Turmeric",Apply Neem paste or Aloe Vera gel to rashes. Use turmeric in meals.,Apply Neem or Aloe twice daily to soothe itching and redness.
Vaginal cancer,"Ashwagandha, Turmeric, Shatavari",Mix Ashwagandha in milk. Use turmeric in meals and Shatavari tea daily.,Use daily for immune support and hormonal balance.
Vaginal discharge,"Neem, Coriander, Amla",Prepare Neem tea and coriander water. Drink Amla juice daily.,Use daily to maintain vaginal health and prevent infections.
Varicose eczema,"Neem, Turmeric, Aloe Vera",Apply Neem oil or turmeric paste to affected areas. Use Aloe Vera gel for soothing.,Apply twice daily for relief from itching and inflammation.
Varicose veins,"Guggulu, Ashwagandha, Ginger",Prepare Guggulu decoction. Mix Ashwagandha in milk and ginger tea.,Use daily to improve circulation and reduce inflammation.
Venous leg ulcer,"Neem, Turmeric, Aloe Vera",Apply Neem paste or turmeric paste to ulcers. Use Aloe Vera gel for soothing.,Apply twice daily for wound healing and infection prevention.
Vertigo,"Brahmi, Ginger, Tulsi",Prepare Brahmi tea and ginger-Tulsi tea.,Use daily to improve balance and reduce dizziness.
Vitamin B12 or folate deficiency anaemia,"Amla, Beetroot, Spinach","Consume Amla juice, beetroot juice, and spinach soup daily.",Use daily to boost energy and support red blood cell production.
Vomiting in adults,"Ginger, Coriander, Fennel",Boil ginger and fennel in water. Add coriander seeds for infusion.,Drink as needed to settle the stomach.
Vomiting in children and babies,"Ginger, Mint, Honey",Prepare ginger-mint tea with honey for taste.,Use as needed in small amounts to soothe nausea.
Vulval cancer,"Neem, Ashwagandha, Shatavari",Mix Neem powder in water for washing. Prepare Ashwagandha and Shatavari milk.,Use Neem externally and Ashwagandha internally for immune and hormonal support.
Warts and verrucas,"Neem, Garlic, Turmeric",Apply Neem oil or garlic paste directly. Use turmeric paste for swelling.,Apply twice daily for antiviral effects and to reduce growths.
Whiplash,"Turmeric, Ginger, Guggulu",Prepare turmeric and ginger tea. Use Guggulu decoction daily.,Use twice daily to reduce pain and inflammation.
Whooping cough,"Tulsi, Ginger, Honey",Make a tea using Tulsi leaves and ginger. Add honey for soothing.,Use 3-4 times daily for cough relief.
Wilms’ tumour,"Ashwagandha, Turmeric, Amla",Mix Ashwagandha in milk. Use turmeric in meals and Amla juice daily.,Use daily for immune support during treatment.
Wolff-Parkinson-White syndrome,"Arjuna, Brahmi, Tulsi",Prepare Arjuna bark tea. Use Brahmi and Tulsi tea daily.,Use daily for heart health and to manage symptoms.
Womb (uterus) cancer,"Ashwagandha, Shatavari, Turmeric",Mix Ashwagandha in milk. Prepare Shatavari tea and add turmeric to meals.,Use daily to boost immunity and hormonal balance.
Yellow fever,"Neem, Tulsi, Amla",Prepare Neem tea and Tulsi-Amla juice blend.,Use daily to reduce fever symptoms and boost immunity.
Zika virus,"Neem, Tulsi, Giloy",Boil Neem and Tulsi leaves with Giloy stem for tea.,Drink twice daily to reduce symptoms and enhance immune defense.
